client_count,total_duration
0,0.000001483
10,0.001759275
20,0.002006163
30,0.002900107
40,0.00589035
50,0.004373536
60,0.006648818
70,0.008438696
80,0.0096293
90,0.009724922
100,0.00886394
110,0.017502928
120,0.014691863
130,0.018251748
140,0.018835891
150,0.014685976
160,0.019349384
170,0.022340407
180,0.018401662
190,0.022317624
200,0.02264904
210,0.022175799
220,0.027593294
230,0.024354329
240,0.032724686
250,0.030236294
260,0.027963534
270,0.037410178
280,0.031085239
290,0.033192779
300,0.036061931
310,0.10008686
320,0.028188248
330,0.045624116
340,0.045749468
350,0.050820991
360,0.129363577
370,0.036495748
380,0.053871398
390,0.050160687
400,0.055202093
410,0.059599534
420,0.049794371
430,0.051038074
440,0.057065064
450,0.054039
460,0.055928691
470,0.05428481
480,0.062110951
490,0.068821646
500,0.065869916
510,0.066088417
520,0.07579694
530,0.091486648
540,0.08192288
550,0.080925233
560,0.066140138
570,0.071779005
580,0.067000456
590,0.064032552
600,0.062699236
610,0.066257321
620,0.073165609
630,0.074909332
640,0.07652023
650,0.078060905
660,0.070757165
670,0.078007196
680,0.093422137
690,0.085762185
700,0.094049712
710,0.077039671
720,0.083525848
730,0.08720104
740,0.092016696
750,0.077807563
760,0.085007123
770,0.083943966
780,0.084395439
790,0.144715629
800,0.127472557
810,0.112934129
820,0.10202633
830,0.12058693
840,0.099303614
850,0.10473184
860,0.10002679
870,0.097670456
880,0.095185161
890,0.093984311
900,0.103301427
910,0.101859455
920,0.109719399
930,0.109329349
940,0.09626652
950,0.11025908
960,0.114226358
970,0.108066862
980,0.111289979
990,0.105189723
1000,0.130430704
1010,0.131460982
1020,0.115769099
1030,0.129878275
1040,0.133099097
1050,0.123276686
1060,0.12475602
1070,0.111794291
1080,0.129378253
1090,0.127211417
1100,0.121095015
1110,0.124199596
1120,0.127879893
1130,0.122068026
1140,0.136113521
1150,0.115952944
1160,0.123506241
1170,0.12869588
1180,0.13531465
1190,0.145602362
1200,0.136163642
1210,0.144902103
1220,0.144819148
1230,0.158385706
1240,0.146424603
1250,0.139951231
1260,0.13703612
1270,0.137636944
1280,0.144503219
1290,0.131960586
1300,0.143097622
1310,0.139472999
1320,0.158614669
1330,0.161864482
1340,0.132683992
1350,0.16447145
1360,0.170790938
1370,0.16323379
1380,0.175769141
1390,0.169893782
1400,0.176988322
1410,0.167358266
1420,0.177047039
1430,0.175148389
1440,0.177691587
1450,0.178972663
1460,0.170233753
1470,0.173969674
1480,0.218026549
1490,0.191760786
1500,0.196130009
1510,0.337371273
1520,0.243685771
1530,0.191421837
1540,0.164858858
1550,0.16195271
1560,0.177173704
1570,0.168852725
1580,0.182939958
1590,0.173575607
1600,0.196210886
1610,0.179580883
1620,0.169099409
1630,0.184105717
1640,0.190836263
1650,0.206604422
1660,0.181085733
1670,0.180503377
1680,0.196431952
1690,0.192286123
1700,0.182033808
1710,0.189937855
1720,0.208130216
1730,0.203560473
1740,0.199186113
1750,0.192655699
1760,0.194817211
1770,0.213129272
1780,0.201996042
1790,0.197959013
1800,0.191630148
1810,0.213874921
1820,0.204818435
1830,0.227847524
1840,0.21730723
1850,0.203902535
1860,0.213896024
1870,0.195215143
1880,0.214521855
1890,0.224669053
1900,0.215680336
1910,0.205345806
1920,0.205660411
1930,0.212379344
1940,0.264908475
1950,0.226583086
1960,0.225545844
1970,0.230347389
1980,0.214872225
1990,0.238263668
2000,0.232518522
2010,0.214971175
2020,0.215097144
2030,0.216363216
2040,0.249465413
2050,0.247140525
2060,0.212265279
2070,0.233538315
2080,0.219874252
2090,0.24101957
2100,0.26696122
2110,0.227218656
2120,0.249731608
2130,0.246008382
2140,0.286630805
2150,0.275021977
2160,0.231937225
2170,0.249757302
2180,0.257608396
2190,0.267301449
2200,0.239368929
2210,0.24980439
2220,0.291279425
2230,0.272301219
2240,0.266034109
2250,0.240194944
2260,0.275024601
2270,0.254574561
2280,0.329095408
2290,0.303613277
2300,0.275512966
2310,0.250115942
2320,0.28069151
2330,0.275489922
2340,0.261781136
2350,0.260718239
2360,0.287329958
2370,0.316674859
2380,0.275918179
2390,0.279744995
2400,0.350649403
2410,0.291433668
2420,0.291609058
2430,0.294944097
2440,0.298320365
2450,0.30237032
2460,0.280137037
2470,0.315021727
2480,0.328795866
2490,0.269537217
2500,0.299135445
2510,0.335567193
2520,0.308176811
2530,0.308956265
2540,0.320982658
2550,0.320593253
2560,0.323447323
2570,0.302778333
2580,0.29999936
2590,0.311869531
2600,0.374062628
2610,0.315139334
2620,0.331259273
2630,0.299664416
2640,0.29687717
2650,0.289893044
2660,0.288982129
2670,0.309892295
2680,0.365808203
2690,0.356853362
2700,0.332778014
2710,0.308692059
2720,0.293818051
2730,0.300851708
2740,0.306965136
2750,0.354310157
2760,0.335084317
2770,0.358902051
2780,0.29759643
2790,0.292613603
2800,0.298668714
2810,0.30170491
2820,0.332784632
2830,0.356611941
2840,0.387059209
2850,0.328297776
2860,0.367267278
2870,0.360447684
2880,0.332482394
2890,0.327186161
2900,0.352604112
2910,0.369194623
2920,0.299811006
2930,0.323337557
2940,0.359232893
2950,0.369351586
2960,0.363006108
2970,0.365460371
2980,0.34829287
2990,0.316945378
3000,0.348738282
3010,0.333187627
3020,0.331044451
3030,0.380132677
3040,0.393686073
3050,0.360306615
3060,0.361963558
3070,0.38437413
3080,0.372209344
3090,0.35873012
3100,0.431015417
3110,0.336582864
3120,0.364601895
3130,0.383881899
3140,0.37875912
3150,0.347112956
3160,0.400150399
3170,0.399749986
3180,0.364628057
3190,0.372261189
3200,0.349143786
3210,0.395755902
3220,0.365416703
3230,0.431014074
3240,0.36039598
3250,0.357003328
3260,0.353333782
3270,0.37708485
3280,0.365390757
3290,0.43687663
3300,0.349103163
3310,0.367638835
3320,0.377590598
3330,0.375874074
3340,0.37386634
3350,0.447229976
3360,0.367238468
3370,0.362250228
3380,0.360831918
3390,0.374820286
3400,0.36273993
3410,0.389447997
3420,0.418316287
3430,0.415816148
3440,0.436338361
3450,0.385859437
